timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707550723427,2158,"home/-2,601",200,OK,Smoke Thread Group 1-1,text,true,,170793,722,1,5,https://supertails.com/,2079,0,380
1707550723427,2130,"home/-2,601",200,OK,Load Thread Group 2-1,text,true,,170681,722,2,5,https://supertails.com/,2006,0,380
1707550725615,45,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Smoke Thread Group 1-1,text,true,,1473,1267,1,5,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,45,0,0
1707550723427,2219,"home/-2,601",200,OK,Stress Thread Group 3-1,text,true,,170027,722,2,5,https://supertails.com/,2168,0,387
1707550725619,48,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Load Thread Group 2-1,text,true,,1479,1267,2,5,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,48,0,0
1707550725669,43,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Stress Thread Group 3-1,text,true,,1477,1267,2,5,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,43,0,0
1707550725670,52,"home/checkouts/internal/preloads.js-2,615",200,OK,Load Thread Group 2-1,text,true,,1858,1289,2,5,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,52,0,0
1707550725662,66,"home/checkouts/internal/preloads.js-2,615",200,OK,Smoke Thread Group 1-1,text,true,,1852,1289,1,5,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,66,0,0
1707550725716,65,"home/checkouts/internal/preloads.js-2,615",200,OK,Stress Thread Group 3-1,text,true,,1854,1289,2,5,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,65,0,0
1707550725725,325,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Load Thread Group 2-1,,true,,1116,1829,2,5,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,325,0,0
1707550725730,344,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Smoke Thread Group 1-1,,true,,1112,1829,1,5,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,344,0,0
1707550725783,319,"home/.well-known/shopify/monorail/unstable/produce_batch-2,610",200,OK,Stress Thread Group 3-1,,true,,1116,1829,2,5,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,319,0,0
1707550726053,49,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Load Thread Group 2-1,text,true,,1941,1253,2,5,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,49,0,0
1707550726077,55,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Smoke Thread Group 1-1,text,true,,1941,1253,1,5,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,55,0,0
1707550726104,47,"home/cdn/shop/t/462/compiled_assets/scripts.js-2,616",200,OK,Stress Thread Group 3-1,text,true,,1937,1253,2,5,https://supertails.com/cdn/shop/t/462/compiled_assets/scripts.js?349329,47,0,0
1707550726106,395,"home/cart/update.js-2,625",200,OK,Load Thread Group 2-1,text,true,,3106,1410,2,5,https://supertails.com/cart/update.js,395,0,0
1707550726133,392,"home/cart/update.js-2,625",200,OK,Smoke Thread Group 1-1,text,true,,3110,1410,1,5,https://supertails.com/cart/update.js,392,0,0
